"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"eric becoats","3701260","2010-2012","nc","Durham Public Schools","Eric Becoats","4226390","2020-2024","pa","William Penn SD","Eric Becoats"
"eric burke","3618090","2016-2024","ny","Madrid-Waddington Csd","ERIC BURKE","5512720","2020-2024","wi","Rhinelander School District","Eric Burke"
"eric johnson","637650","2008-2013","ca","Southside Elementary","Eric Johnson","2600144","2015","mi","Morey Montessori Public School Academy","Eric Johnson"
"eric jones","5103030","2013-2021","va","Powhatan County","Dr. Eric L Jones","4702580","2017-2018","tn","Madison County","Mr. Eric Jones"
"eric king","1736300","2006-2007","il","Esd 159","DR ERIC A KING","1807320","2010","in","Muncie Community Schools","Dr Eric King"
"eric knost","2926850","2015-2019","mo","Rockwood R-Vi","ERIC KNOST","1916680","2019-2020","ia","Lewis Central Comm School District","Eric Knost"
"eric smith","4829880","2003-2004","tx","Mclean Isd","Eric Smith","4004360","2023-2024","ok","Billings","Eric Smith"
"eric smith","4829880","2003-2004","tx","Mclean Isd","Eric Smith","4006630","2018-2022","ok","Carnegie","Eric Smith"
"eric smith","4829880","2003-2004","tx","Mclean Isd","Eric Smith","4029820","2012","ok","Texhoma","Eric Smith"
"eric smith","4829880","2003-2004","tx","Mclean Isd","Eric Smith","4032940","2013-2017","ok","Wilson","Eric Smith"
"eric williams","4704490","2011-2019","tn","West Carroll","Mr. Eric Williams","4814280","2021-2022","tx","Clear Creek Isd","Eric Williams"
"eric williams","4704490","2011-2019","tn","West Carroll","Mr. Eric Williams","5102250","2014-2020","va","Loudoun County","Dr. Eric Williams"
"eric witherspoon","1908970","2004-2005","ia","Des Moines Independent Comm School District","Eric Witherspoon","1714490","2006-2014, 2017-2021","il","Evanston Twp Hsd 202","DR ERIC WITHERSPOON"
"eric wright","5504230","2016-2024","wi","Elk Mound Area School District","Eric Wright","4800010","2018-2024","tx","Hays Cisd","Eric Wright"
"esperanza zendejas","4811680","1992-1994, 2015-2018","tx","Brownsville Isd","Esperanza Zendejas","629910","2010","ca","Parlier Unified","Esperanza Zendejas"
"evelyn browne","3405280","2014-2017","nj","Folsom Borough School District","Evelyn Browne","3100067","2018-2024","ne","Banner County Public Schools","Evelyn Browne"
"fran thoele","1738760","2003-2005","il","Teutopolis C U School Dist 50","FRAN THOELE ","1807500","2010","in","New Harmony Town & Twp Con Sch","Mrs Fran Thoele"
"francisco duran","3416290","2012-2015","nj","Trenton Public Schools","Francisco Duran","5100270","2020-2024","va","Arlington County","Francisco Duran"
"frank alvarez","3625260","2012-2015","ny","Rye City Sd","Mr. Frank R Alvarez","3413950","2020-2021","nj","River Vale Twp","Frank Alvarez"
"frank harwood","3103810","2011-2015","ne","Bellevue Public Schools","FRANK HARWOOD","2005490","2016-2018, 2021-2022","ks","De Soto","Harwood, Frank"
"frank petruzielo","4823640","1991-1993","tx","Houston Isd","Frank Petruzielo","1301110","1999-2015","ga","Cherokee County","PETRUZIELO,FRANK R"
"franzy fleck","1802940","2010","in","East Gibson School Corporation","Dr Franzy Fleck","1736810","2012-2014, 2017-2023","il","Burbank Sd 111","Dr. Franzy Fleck"
"frederick clarke","2602070","2008","mi","Albion","Frederick Clarke","4801415","2016-2019","tx","Manara Academy","Frederick Clarke"
"frederick williams","1301870","2015-2023","ga","Dublin City","FREDERICK WILLIAMS","3410050","2020-2022","nj","Middlesex Boro","FREDERICK WILLIAMS"
"frederick williams","1301870","2015-2023","ga","Dublin City","FREDERICK WILLIAMS","3415120","2023-2024","nj","South Amboy City","Dr. Frederick Williams"
"garry jameson","4827090","2005","tx","Lefors Isd","Garry Jameson","504110","2019-2020","ar","Genoa Central School District","Jameson, Garry"
"gary battles","1924120","2004-2005","ia","Remsen-Union Comm School District","Gary Battles","2930900","2008-2010","mo","West Nodaway Co. R-I","GARY BATTLES"
"gary drummond","2925290","2003-2005","mo","Clinton Co. R-Iii","GARY DRUMMOND","1925620","2007-2009","ia","Seymourcomm School District","Gary Drummond"
"gary jones","691093","2008-2012","ca","Modoc County Office Of Education","Gary Jones","4029160","2012-2017","ok","Sulphur","Gary Jones"
"gary jones","691093","2008-2012","ca","Modoc County Office Of Education","Gary Jones","4816350","2021-2024","tx","Dawson Isd","Gary Jones"
"gary jones","3904932","2006-2011","oh","Continental Local","Gary Jones","4029160","2012-2017","ok","Sulphur","Gary Jones"
"gary jones","3904932","2006-2011","oh","Continental Local","Gary Jones","4816350","2021-2024","tx","Dawson Isd","Gary Jones"
"gary jones","3904932","2006-2011","oh","Continental Local","Gary Jones","691093","2008-2012","ca","Modoc County Office Of Education","Gary Jones"
"gary jones","4029160","2012-2017","ok","Sulphur","Gary Jones","4816350","2021-2024","tx","Dawson Isd","Gary Jones"
"gary mathews","2926850","2003","mo","Rockwood R-Vi","GARY MATHEWS","1303930","2010-2012","ga","Newton County","Gary Mathews"
"gary mathews","4813020","2002-2004","tx","Carroll Isd","Gary Mathews","1303930","2010-2012","ga","Newton County","Gary Mathews"
"gary mathews","4813020","2002-2004","tx","Carroll Isd","Gary Mathews","2926850","2003","mo","Rockwood R-Vi","GARY MATHEWS"
"gary nightingale","4818330","2003-2012","tx","Electra Isd","Gary Nightingale","4013290","2013","ok","Granite","Gary Nightingale"
"gary norris","3904730","2005-2007","oh","Rolling Hills Local","Gary L. Norris","1930480","2008-2013","ia","Waterloo","Gary Norris"
"gary richards","905130","2007-2013","ct","Wilton School District","gary g. richards","2612240","2014-2015","mi","Dryden","Gary Richards"
"gary richards","905130","2007-2013","ct","Wilton School District","gary g. richards","2619100","2008, 2011-2012, 2014-2015","mi","Imlay City","Gary Richards"
"gary schurz","1720550","2003-2010","il","Johnston City C U Sch Dist 1","GARY SCHURZ ","2925500","2003","mo","Potosi R-Iii","GARY SCHURZ"
"geoffrey gordon","3623580","2010-2011","ny","Port Washington Ufsd","Dr. Geoffrey N Gordon","3400870","2014","nj","Alpine Elementary School District","Geoffrey Gordon"
"geoffrey gordon","3623580","2010-2011","ny","Port Washington Ufsd","Dr. Geoffrey N Gordon","3411760","2015-2016","nj","Northern Valley Regional High School District","Geoffrey Gordon"
"geoffrey gordon","3623580","2010-2011","ny","Port Washington Ufsd","Dr. Geoffrey N Gordon","3413980","2019","nj","Riverdale Boro","Geoffrey Gordon"
"geoffrey gordon","3623580","2010-2011","ny","Port Washington Ufsd","Dr. Geoffrey N Gordon","3416110","2017","nj","Tenafly Public School District","Geoffrey Gordon"
"george griffith","2003270","2009-2010","ks","Northern Valley","Griffith, George","3100179","2021-2024","ne","Humboldt Table Rock Steinauer","George Griffith"
"george griffith","2003270","2009-2010","ks","Northern Valley","Griffith, George","3103090","2016-2020","ne","Arapahoe Public Schools","George Griffith"
"george steffen","1732520","2003","il","Prairie Grove C Sch Dist 46","DR GEORGE F STEFFEN ","5500052","2008-2014","wi","Trevor-Wilmot Consolidated School District","George Steffen"
"george white","4819620","1993-1998","tx","Forsan Isd","George White","4206060","2008-2010","pa","Clarion Area SD","GEORGE WHITE"
"george zimmer","1700222","2003-2005","il","Nippersink School Dist 2","GEORGE ZIMMER ","5508130","2008-2012","wi","Richmond School District","George Zimmer"
"gerald hill","1716920","2004-2011","il","Glenview C C School Dist 34","DR GERALD D HILL ","2635820","2012, 2014","mi","West Bloomfield","Gerald Hill"
"gerald stegall","4840320","1990-1996","tx","Simms Isd","Gerald Stegall","4005040","2012-2013","ok","Boswell","Gerald Stegall"
"glen mitchell","4824260","1990-1995","tx","Iowa Park Cons Isd","Glen Mitchell","3124330","2005","ne","Prairie View Public School","GLEN MITCHELL"
"glen mitchell","4824260","1990-1995","tx","Iowa Park Cons Isd","Glen Mitchell","3158860","2005","ne","Fieldside Public School","GLEN MITCHELL"
"gloria scott","4833060","1996-1999","tx","North Forest Isd","Gloria Scott","3404230","2011-2015","nj","East Orange School District","Gloria Scott"
"greg brown","5103420","2016-2021","va","Russell County","Dr. Greg Brown","2003180","2021-2024","ks","Abilene","Greg Brown"
"greg brown","5103420","2016-2021","va","Russell County","Dr. Greg Brown","4834650","2023-2024","tx","Perryton Isd","Greg Brown"
"greg mikulich","2622800","2011-2012","mi","Marion","Greg Mikulich","1805340","2023-2024","in","Knox Community School Corp","Greg Mikulich"
"greg rasmussen","3904440","2009-2011","oh","Middletown City","Greg K. Rasmussen","2003360","2013-2016","ks","Andover","Rasmussen, Greg"
"gregory little","905250","2007-2009","ct","Windsor Locks School District","gregory w. little","3703210","2011-2014","nc","Mount Airy City Schools","Gregory Little"
"gregory smith","3904436","2005-2015","oh","Maumee City","Gregory J. Smith","4814280","2008-2020","tx","Clear Creek Isd","Gregory Smith"
"gregory thornton","4205860","2008-2009","pa","Chester-Upland SD","GREGORY THORNTON","5509600","2010-2013","wi","Milwaukee School District","Gregory Thornton"
"gregory wright","1732370","2006-2013","il","Posen-Robbins Esd 143-5","GREGORY WRIGHT","4204200","2011-2013","pa","School District","Gregory Wright"
"gregory wright","4822170","2003-2010","tx","Hallsville Isd","Gregory Wright","1732370","2006-2013","il","Posen-Robbins Esd 143-5","GREGORY WRIGHT"
"gregory wright","4822170","2003-2010","tx","Hallsville Isd","Gregory Wright","4204200","2011-2013","pa","School District","Gregory Wright"
"grenita lathan","1731230","2009-2013","il","Peoria Sd 150","Dr. Grenita F Lathan","2928860","2023-2024","mo","Springfield R-Xii","GRENITA LATHAN"
"grenita lathan","1731230","2009-2013","il","Peoria Sd 150","Dr. Grenita F Lathan","4823640","2018-2020","tx","Houston Isd","Grenita Lathan"
"grenita lathan","4823640","2018-2020","tx","Houston Isd","Grenita Lathan","2928860","2023-2024","mo","Springfield R-Xii","GRENITA LATHAN"
"harry griffith","4821150","1990-1993","tx","Goose Creek Isd","Harry Griffith","1721750","2003-2011","il","Lake Forest School Dist 67","DR HARRY D GRIFFITH "
"harry griffith","4821150","1990-1993","tx","Goose Creek Isd","Harry Griffith","1721780","2004-2011","il","Lake Forest Comm H S District 115","DR HARRY D GRIFFITH "
"heath morrison","3702970","2012-2013","nc","Charlotte-Mecklenburg Schools","Heath Morrison","4831260","2020-2022","tx","Montgomery Isd","Heath Morrison"
"henry eggert","1914670","2004","ia","Interstate 35 Comm School District","Henry Eggert","3172480","2023-2024","ne","Keya Paha County Schools","Henry Eggert"
"henry eggert","1914670","2004","ia","Interstate 35 Comm School District","Henry Eggert","3177730","2006-2016","ne","Thedford Public Schools","HENRY EGGERT"
"ian roberts","4215330","2020-2022","pa","Millcreek Township SD","IAN ROBERTS","1908970","2023-2024","ia","Des Moines Independent Comm School District","Ian Roberts"
"ibrahim sel","4800241","2002-2005","tx","Harmony Science Academy -","Ibrahim Sel","4000753","2019-2021","ok","Dove Schools Of Tulsa","Ibrahim Sel"
"ibrahim sel","4800241","2002-2005","tx","Harmony Science Academy -","Ibrahim Sel","4000799","2018-2019","ok","Dove Science Academy (Charter)","Ibrahim Sel"
"j morris","4813500","1990-1992","tx","Central Isd","J Morris","508400","2007-2012","ar","Riverview School District","MORRIS, J H."
"j smith","3904993","2006-2008","oh","Plain Local","J C. Smith","4701410","2013-2014","tn","Giles County","Mr. J. B Smith"
"jack thompson","3904790","2010-2023","oh","Perry Local","Jack K. Thompson","4100003","2012-2016","or","Falls City SD 57","Jack Thompson"
"jack thompson","3904790","2010-2023","oh","Perry Local","Jack K. Thompson","4100990","2016-2018, 2020-2021","or","Adel SD 21","Jack Thompson"
"jack thompson","3904790","2010-2023","oh","Perry Local","Jack K. Thompson","4109960","2016-2018, 2020","or","Plush SD 18","Jack Thompson"
"jake honea","4822380","1999-2002","tx","Hardin Isd","Jake Honea","500059","2008-2009","ar","Academics Plus Charter School","HONEA, JAKE"
"jake long","500043","2014, 2016-2021","ar","Mountain Home School District","LONG, JAKE","2915210","2024","mo","Howell Valley R-I","Jake Long"
"james baker","2618990","2012, 2014-2015","mi","Huron Valley","James Baker","3404320","2014","nj","East Windsor Regional School District","JAMES BAKER"
"james baker","2618990","2012, 2014-2015","mi","Huron Valley","James Baker","3413560","2024","nj","Ramapo-Indian Hill Reg","James Baker"
"james baker","2618990","2012, 2014-2015","mi","Huron Valley","James Baker","3414280","2019-2020","nj","Roselle Boro","James Baker"
"james boyle","1729670","2006-2007","il","Oglesby Esd 125","DR JAMES F BOYLE","4829010","2010","tx","Marble Falls Isd","James Boyle"
"james boyle","1729670","2006-2007","il","Oglesby Esd 125","DR JAMES F BOYLE","4830640","2006","tx","Midway Isd","James Boyle"
"james brewer","3400756","2016-2017","nj","Dr Lena Edwards Academic Charter School","James Brewer","5502640","2016-2024","wi","Clinton Community School District","James Brewer"
"james brewer","4816570","1997-2006","tx","Dekalb Isd","James Brewer","3400756","2016-2017","nj","Dr Lena Edwards Academic Charter School","James Brewer"
"james brewer","4816570","1997-2006","tx","Dekalb Isd","James Brewer","5502640","2016-2024","wi","Clinton Community School District","James Brewer"
"james bridges","512180","2009-2014","ar","Scranton School District","BRIDGES, JAMES","618840","2011-2022","ca","Jefferson Elementary","James Bridges"
"james brown","609330","2008-2015","ca","College Elementary","James Brown","1725690","2012","il","Meridian Cusd 223","Mr. James L Brown"
"james brown","4833420","1990-1995, 1997-2003","tx","Oglesby Isd","James Brown","1712330","2003-2007","il","Dixon Unit School Dist 170","JAMES L BROWN "
"james brown","4833420","1990-1995, 1997-2003","tx","Oglesby Isd","James Brown","1725690","2012","il","Meridian Cusd 223","Mr. James L Brown"
"james brown","4833420","1990-1995, 1997-2003","tx","Oglesby Isd","James Brown","609330","2008-2015","ca","College Elementary","James Brown"
"james cain","4825740","2004-2015","tx","Klein Isd","James Cain","2623040","2011-2012","mi","Marysville","James Cain"
"james cain","4825740","2004-2015","tx","Klein Isd","James Cain","2628830","2014-2015","mi","Port Huron","James Cain"
"james carter","4842090","1990-1993","tx","Tahoka Isd","James Carter","1304200","1999","ga","Polk County","CARTER,JAMES J"
"james collins","602730","2008-2012","ca","Anderson Valley Unified","James Collins","4830950","2008-2011","tx","Mineral Wells Isd","James Collins"
"james cook","4818750","1991-1995","tx","Evadale Isd","James Cook","4006510","2022-2024","ok","Canute","James Cook"
"james cook","4818750","1991-1995","tx","Evadale Isd","James Cook","5103980","2010","va","Westmoreland County","Mr. James Cook"
"james cook","5103980","2010","va","Westmoreland County","Mr. James Cook","4006510","2022-2024","ok","Canute","James Cook"
"james cox","1710820","2003","il","Westville C U School Dist 2","JAMES L COX ","1921090","2004-2015","ia","Northeast Comm School District","James Cox"
"james craig","1810770","2010, 2012, 2014-2015","in","Southern Wells Com Schools","Mr James Craig","1900015","2019-2020","ia","Sibley-Ocheyedan Comm School District","James Craig"
"james craig","1810770","2010, 2012, 2014-2015","in","Southern Wells Com Schools","Mr James Craig","1906240","2023-2024","ia","Cardinal Comm School District","James Craig"
"james crisfield","3410200","2011-2014","nj","Millburn Township Schools","James Crisfield","4202400","2015-2024","pa","Wissahickon SD","JAMES CRISFIELD"
"james dick","1900028","2005-2010","ia","Prairie Valley","James Dick","3904684","2005-2007, 2016-2020","oh","Amanda-Clearcreek Local","James B. Dick"
"james dick","1900028","2005-2010","ia","Prairie Valley","James Dick","4223760","2009","pa","Trinity Area SD","JAMES DICK"
"james dick","3904684","2005-2007, 2016-2020","oh","Amanda-Clearcreek Local","James B. Dick","4223760","2009","pa","Trinity Area SD","JAMES DICK"
"james ellis","4700270","2019-2020","tn","Bledsoe County","Mr. James Ellis","1808490","2020-2024","in","Orleans Community Schools","James Ellis"
"james ellis","5509690","2008-2024","wi","Minocqua J1 School District","James Ellis","1808490","2020-2024","in","Orleans Community Schools","James Ellis"
"james ellis","5509690","2008-2024","wi","Minocqua J1 School District","James Ellis","4700270","2019-2020","tn","Bledsoe County","Mr. James Ellis"
"james feil","2633870","2008","mi","Traverse City","James Feil","5508610","2022-2023","wi","Manitowoc School District","JAMES FEIL"
"james feil","2633870","2008","mi","Traverse City","James Feil","5509870","2021","wi","Montello School District","JAMES FEIL"
"james gallagher","1714580","2003-2007","il","Evergreen Park Comm Hi Sch D 231","DR JAMES GALLAGHER ","4219710","2008-2011","pa","Pottsville Area SD","James Gallagher"
"james gay","3904624","2005-2011","oh","Tecumseh Local","James E. Gay","1708400","2007-2014, 2017-2020","il","Cons Hsd 230","Dr James M Gay"
"james gray","1736810","2003","il","Burbank School District 111","JAMES A GRAY ","3904484","2005-2007","oh","Strongsville City","James D. Gray"
"james grube","3408580","2011-2017, 2019-2020","nj","Lincoln Park School District","James Grube","3904697","2021-2023","oh","Groveport Madison Local","James C. Grube"
"james haley","3178940","2014-2019","ne","Wood River Rural Schools","JAMES HALEY","4834550","2016-2017","tx","Pecos-Barstow-Toyah Isd","James Haley"
"james hanna","1809720","2010, 2012, 2014-2021, 2023-2024","in","Rossville Con School District","Dr James Hanna","1201110","2017-2022","fl","Leon","HANNA, JAMES"
"james harris","1803120","2010, 2012, 2014","in","Eastern Hancock Co Com Sch Corp","Mr James Harris","4207290","2016-2017","pa","Daniel Boone Area SD","JAMES HARRIS"
"james harris","1803120","2010, 2012, 2014","in","Eastern Hancock Co Com Sch Corp","Mr James Harris","4216500","2018-2021","pa","Woodland Hills SD","JAMES HARRIS"
"james hartman","4221540","2009","pa","Shikellamy SD","James Hartman","4819170","2015-2021","tx","Ferris Isd","James Hartman"
"james hartman","4221540","2009","pa","Shikellamy SD","James Hartman","4840800","2012-2014","tx","Sonora Isd","James Hartman"
"james henderson","2600079","2008","mi","Cole Academy","James Henderson","1732910","2021-2022","il","Proviso Twp Hsd 209","Dr. James Henderson"
"james hermes","4844250","1991-2003","tx","Vysehrad Isd","James Hermes","1737050","2009-2014, 2017-2023","il","Spring Valley Ccsd 99","James M Hermes"
"james hill","1800042","2018-2021","in","Andrew J Brown Academy","James Hill","4835310","2024","tx","Ponder Isd","James Hill"
"james hines","500068","2007-2014, 2016-2018","ar","Emerson-Taylor School District","HINES, JAMES G.","1302880","2010-2013","ga","Houston County","JAMES HINES JR"
"james johnson","4811250","1992-2002","tx","Bremond Isd","James Johnson","2012300","2013-2016","ks","Circle","Johnson, James"
"james jones","1710340","2007-2013","il","Clay City Cusd 10","James Jones","4703450","2011-2022","tn","Polk County","Mr. James Jones"
"james jones","1710340","2007-2013","il","Clay City Cusd 10","James Jones","500076","2013-2014, 2016-2017","ar","Ozark Mountain School District","Jones, James H."
"james jones","1710340","2007-2013","il","Clay City Cusd 10","James Jones","504680","2016-2024","ar","Cotter School District","JONES, VANESSA"
"james jones","2909930","2004-2022","mo","Cole Co. R-Ii","JAMES JONES","1710340","2007-2013","il","Clay City Cusd 10","James Jones"
"james jones","2909930","2004-2022","mo","Cole Co. R-Ii","JAMES JONES","3904350","2005-2006","oh","Ashland City","James G. Jones"
"james jones","2909930","2004-2022","mo","Cole Co. R-Ii","JAMES JONES","4703450","2011-2022","tn","Polk County","Mr. James Jones"
"james jones","2909930","2004-2022","mo","Cole Co. R-Ii","JAMES JONES","500076","2013-2014, 2016-2017","ar","Ozark Mountain School District","Jones, James H."
"james jones","2909930","2004-2022","mo","Cole Co. R-Ii","JAMES JONES","504680","2016-2024","ar","Cotter School District","JONES, VANESSA"
"james jones","3904350","2005-2006","oh","Ashland City","James G. Jones","1710340","2007-2013","il","Clay City Cusd 10","James Jones"
"james jones","3904350","2005-2006","oh","Ashland City","James G. Jones","4703450","2011-2022","tn","Polk County","Mr. James Jones"
"james jones","3904350","2005-2006","oh","Ashland City","James G. Jones","500076","2013-2014, 2016-2017","ar","Ozark Mountain School District","Jones, James H."
"james jones","3904350","2005-2006","oh","Ashland City","James G. Jones","504680","2016-2024","ar","Cotter School District","JONES, VANESSA"
"james jones","4703450","2011-2022","tn","Polk County","Mr. James Jones","500076","2013-2014, 2016-2017","ar","Ozark Mountain School District","Jones, James H."
"james jones","4703450","2011-2022","tn","Polk County","Mr. James Jones","504680","2016-2024","ar","Cotter School District","JONES, VANESSA"
"james knapp","3904716","2005-2006","oh","Berkshire Local","James E. Knapp","4823310","2011, 2014","tx","Hitchcock Isd","James Knapp"
"james lombardo","4203330","2008","pa","Bensalem Township SD","JAMES LOMBARDO","901320","2009-2014","ct","East Lyme School District","james d. lombardo"
"james martin","4026100","2012-2013","ok","Robin Hill","James Martin","1302700","2014-2017","ga","Harris County","JAMES MARTIN"
"james merrill","5103840","2010-2012","va","Virginia Beach ","Dr. James G. Merrill","3700030","2021","nc","Alamance-Burlington Schools","James Merrill"
"james merrill","5103840","2010-2012","va","Virginia Beach ","Dr. James G. Merrill","3704720","2013-2016","nc","Wake County Schools","James Merrill"
"james merrill","5103840","2010-2012","va","Virginia Beach ","Dr. James G. Merrill","3704880","2019","nc","Wayne County Public Schools","James Merrill"
"james miller","1700326","2004","il","El Paso-Gridley Cusd 11","JAMES A MILLER ","3904826","2021-2023","oh","Jonathan Alder Local","James N. Miller"
"james miller","1700326","2004","il","El Paso-Gridley Cusd 11","JAMES A MILLER ","4008310","2014-2016","ok","Coleman","James Miller"
"james miller","1700326","2004","il","El Paso-Gridley Cusd 11","JAMES A MILLER ","4012180","2017-2018","ok","Freedom","James Miller"
"james miller","4822410","1990-1992","tx","Hardin-Jefferson Isd","James Miller","1700326","2004","il","El Paso-Gridley Cusd 11","JAMES A MILLER "
"james miller","4822410","1990-1992","tx","Hardin-Jefferson Isd","James Miller","3904826","2021-2023","oh","Jonathan Alder Local","James N. Miller"
"james miller","4822410","1990-1992","tx","Hardin-Jefferson Isd","James Miller","4008310","2014-2016","ok","Coleman","James Miller"
"james miller","4822410","1990-1992","tx","Hardin-Jefferson Isd","James Miller","4012180","2017-2018","ok","Freedom","James Miller"
"james moore","602160","2013-2018","ca","Alta Loma Elementary","James Moore","4844940","2016-2018","tx","Wells Isd","James Moore"
"james moore","1301350","1999","ga","Coffee County","MOORE, JAMES C","4844940","2016-2018","tx","Wells Isd","James Moore"
"james moore","1301350","1999","ga","Coffee County","MOORE, JAMES C","602160","2013-2018","ca","Alta Loma Elementary","James Moore"
"james opiekun","3408040","2011","nj","Kinnelon Board Of Education","James Opiekun","3611160","2012-2017","ny","Floral Park-Bellerose Ufsd","Mr. James Opiekun"
"james palmer","4812240","2003-2014","tx","Burton Isd","James Palmer","4031290","2012","ok","Vinita","James Palmer"
"james parker","1303840","1999","ga","Murray County","PARKER JR, JAMES V.","4837800","2009-2015","tx","Roosevelt Isd","James Parker"
"james parker","1303840","1999","ga","Murray County","PARKER JR, JAMES V.","4842090","1999-2008","tx","Tahoka Isd","James Parker"
"james parla","3629880","2010-2011","ny","Wappingers Csd","Mr. James Parla","3406540","2012-2014","nj","Hamilton Township","James Parla"
"james pate","1301710","1999-2001","ga","Decatur County","PATE,JAMES L","4827060","1999-2000","tx","Leary Isd","James Pate"
"james payne","4815690","1990-1993","tx","Crockett Co Consolidated Csd","James Payne","3904414","2023","oh","Ironton City","James A. Payne"
"james payne","4815690","1990-1993","tx","Crockett Co Consolidated Csd","James Payne","3904792","2005-2007","oh","Dawson-Bryant Local","James A. Payne"
"james ramsey","4818840","1995-1996","tx","Excelsior Isd","James Ramsey","4023800","2012-2021","ok","Perkins-Tryon","James Ramsey"
"james rice","1804620","2010, 2012","in","River Forest Community Sch Corp","Dr James Rice","4833090","2010-2012","tx","Northside Isd","James Rice"
"james rice","5510410","2008-2009","wi","Neosho J3 School District","James Rice","1804620","2010, 2012","in","River Forest Community Sch Corp","Dr James Rice"
"james rice","5510410","2008-2009","wi","Neosho J3 School District","James Rice","4833090","2010-2012","tx","Northside Isd","James Rice"
"james roberts","5100810","2010-2017","va","Chesapeake ","Dr. James T. Roberts","1800360","2016-2023","in","Bartholomew Con School Corp","Jim Roberts"
"james russell","4842480","2007-2010","tx","Texarkana Isd","James Russell","1201920","2015-2018","fl","Volusia","RUSSELL, JAMES"
"james sharpe","511850","2007","ar","Pulaski Co. Spec. School Dist.","SHARPE, JAMES","4015370","2012","ok","Idabel","James Sharpe"
"james smith","1720010","2003","il","Ina Comm Cons School Dist 8","JAMES SMITH ","1302520","2015-2020","ga",,"SMITH,JAMES DAVIS"
"james smith","1720010","2003","il","Ina Comm Cons School Dist 8","JAMES SMITH ","3904412","2013-2015","oh","Hillsboro City","James R. Smith"
"james smith","1720010","2003","il","Ina Comm Cons School Dist 8","JAMES SMITH ","3904631","2005-2009","oh","Bethel-Tate Local","James R. Smith"
"james smith","1720010","2003","il","Ina Comm Cons School Dist 8","JAMES SMITH ","5100690","2010-2011","va","Carroll County","Dr. James G. Smith"
"james smith","5100690","2010-2011","va","Carroll County","Dr. James G. Smith","1302520","2015-2020","ga",,"SMITH,JAMES DAVIS"
"james smith","5100690","2010-2011","va","Carroll County","Dr. James G. Smith","3904412","2013-2015","oh","Hillsboro City","James R. Smith"
"james stevens","1305580","2006-2008","ga","Webster County","STEVENS, JAMES W","512540","2020-2024","ar","Southside School District","STEVENS, JAMES D."
"james stroder","4824210","2009-2011","tx","Ingram Isd","James Stroder","4703660","2020","tn","Rogersville","Mr. James Stroder"
"james thompson","900330","2011-2012","ct","Bloomfield School District","james j. thompson","1304500","2019-2023","ga","Screven County","James Thompson"
"james tracy","4210740","2008-2015","pa","Girard SD","JAMES TRACY","3609420","2016-2019","ny","Dunkirk City Sd","JAMES TRACY"
"james white","1732970","2003-2006","il","Queen Bee School District 16","DR JAMES WHITE ","2000014","2010-2014","ks","Central Heights","White, James"
"james white","1732970","2003-2006","il","Queen Bee School District 16","DR JAMES WHITE ","2923780","2016-2020","mo","Pemiscot Co. Spec. Sch. Dist.","James White"
"james white","1732970","2003-2006","il","Queen Bee School District 16","DR JAMES WHITE ","4023970","2012-2023","ok","Piedmont","James White"
"james white","2000014","2010-2014","ks","Central Heights","White, James","2923780","2016-2020","mo","Pemiscot Co. Spec. Sch. Dist.","James White"
"james white","2000014","2010-2014","ks","Central Heights","White, James","4023970","2012-2023","ok","Piedmont","James White"
"james white","4023970","2012-2023","ok","Piedmont","James White","2923780","2016-2020","mo","Pemiscot Co. Spec. Sch. Dist.","James White"
"james woodward","1703780","2007-2013","il","Anna Jonesboro Chsd 81","James Woodward","1925200","2008-2009","ia","St Ansgar","James Woodward"
"james wright","509420","2016-2024","ar","Marked Tree School District","WRIGHT, JAMES M.","4831620","2017-2022","tx","Mount Calm Isd","James Wright"
"james young","500400","2008","ar","School Of Excellence Charter School","YOUNG, JAMES T.","4825320","2021-2024","tx","Kemp Isd","James Young"
"james young","500400","2008","ar","School Of Excellence Charter School","YOUNG, JAMES T.","4826220","2016-2020","tx","Lapoynor Isd","James Young"
"janet neufeld","2003960","2013-2015","ks","Twin Valley","Neufeld, Janet","4023580","2016-2017","ok","Pawhuska","Janet Neufeld"
"janet stutz","1730220","2013-2014","il","Orland Sd 135","Dr. Janet Stutz","1913200","2016-2020","ia","Grinnell-Newburg Comm School District","Janet Stutz"
"janice adams","604620","2008-2012","ca","Benicia Unified","Janice Adams","1800074","2012, 2014-2017","in","Dr Robert H Faulkner Academy","Mrs Janice Adams"
"jason cline","2007470","2017-2018, 2021-2022","ks","South Brown County","Cline, Jason","3100112","2023-2024","ne","Lakeview Community Schools","Jason Cline"
"jason harris","4215900","2018-2021","pa","Morrisville Borough SD","JASON HARRIS","4808880","2023-2024","tx","Atlanta Isd","Jason Harris"
"jason king","1800012","2016","in","New Community School","Jason King","2905130","2018-2022","mo","Bismarck R-V","JASON KING"
"jason king","1800012","2016","in","New Community School","Jason King","2932100","2023-2024","mo","Windsor C-1","Jason King"
"jason price","2930510","2015-2022","mo","Miller Co. R-Iii","Jason Price","4014080","2016-2023","ok","Haworth","Jason Price"
"jay smith","4811550","2011-2014","tx","Brookesmith Isd","Jay Smith","1716650","2019-2021","il","Gifford Ccsd 188","Dr. Jay P Smith"
