name,year1,state1,leaid1,leaid_name1,year2,state2,leaid2,leaid_name2,year3,state3,leaid3,leaid_name3,prediction,confidence,reasoning,evidence_urls,critic_score,critic_grade
mark johnson,"2008, 2011-2012",mi,2600006,Bessemer,2013-2024,wi,5500061,Chetek-Weyerhaeuser Area School District,,,,,same,high,"I found definitive evidence that both superintendent records refer to the same person. The evidence comes from multiple Tier 1 sources that explicitly connect Mark Johnson's transition from Bessemer, MI to Chetek-Weyerhaeuser, WI:

**Key Evidence:**
1. **Hiring Announcement (Tier 1)**: The Chetek Alert newspaper article from May 2013 explicitly states ""Mark Johnson, currently superintendent at the Bessemer, Mich., School District, was approved as the new superintendent"" by the Chetek-Weyerhaeuser Board of Education.

2. **Career Progression Details**: The article provides a complete timeline matching both records:
   - Since 2006: 7-12 principal in Bessemer School District
   - After two years as principal: also became district's superintendent (2008-2012)
   - 2013: Hired as superintendent at Chetek-Weyerhaeuser Area School District

3. **Professional Background**: Born and raised in Ironwood, Michigan (near Bessemer), graduated from University of Minnesota-Duluth, with education administration degree from University of Minnesota.

4. **Timeline Plausibility**: The transition from Bessemer (2008-2012) to Chetek-Weyerhaeuser (2013-2024) shows no overlap and matches the career progression pattern of superintendents moving between districts.

5. **Document Verification**: Multiple district documents from Chetek-Weyerhaeuser show Dr. Mark Johnson as superintendent from 2013 onward, including employment postings, annual reports, and board meeting minutes.

**Quality Gates Verified:**
- ✓ Fetched primary source (Chetek Alert article)
- ✓ Searched both districts 
- ✓ Verified full name at both positions
- ✓ Found explicit connection between districts
- ✓ Timeline is plausible with no conflicts

The evidence conclusively shows this is the same Mark Johnson who moved from Michigan to Wisconsin for better family opportunities, as stated in his own words during the hiring process.","https://www.chetekalert.com/news/top_stories/article_17f1a416-bd90-11e2-8a08-0019bb2963f4.html, https://www.cwasd.k12.wi.us/faculty/mjohnson/index.cfm, https://go.boarddocs.com/wi/cwsdw/Board.nsf/files/9ALRVG6FBA61/$file/ECH%20board%20recommendation.pdf, https://www.michigan.gov/-/media/Project/Websites/mde/Year/2010/08/18/Homeless_Liaisons_0809.pdf?rev=4a10356fc83d4b2bac5ff639331895af, http://ironwoodinfo.com/education/education_BAS.htm",19,CONFIRMED
mark stefanik,2015-2019,nc,3701080,Currituck County Schools,2019-2021,oh,3904561,Tipp City Exempted Village,,,,,same,high,"I have definitive evidence that Mark Stefanik (Currituck County Schools, NC, 2015-2019) and Mark J. Stefanik (Tipp City Exempted Village, OH, 2019-2021) are the same person. 

**Tier 1 Evidence (Definitive):**
1. Dayton Daily News (March 2019) explicitly states: ""Mark Stefanik has accepted the position of superintendent of the Tipp City Exempted Village Schools. He has been with the Currituck schools in Currituck, N.C., since 2015.""
2. Daily Advance reports: ""Mark Stefanik, superintendent of schools in Currituck County since October 2015, is resigning to take a job in his native Ohio...become superintendent of the Tipp City Schools near Dayton, Ohio.""
3. Additional Daily Advance coverage confirms the timeline: Stefanik would continue in Currituck through July 31, 2019, then transition to Tipp City.

**Tier 2 Evidence (Strong):**
4. Tipp City Schools website shows ""Mark J. Stefanik, Superintendent"" - confirming the middle initial J. was used at the Ohio district
5. Currituck County Board meeting minutes from December 2018 reference ""Mark Stefanik, Superintendent""

**Timeline Analysis:**
- October 2015: Becomes superintendent of Currituck County Schools (NC)
- March 2019: Accepts Tipp City position 
- July 2019: Leaves Currituck early to start at Tipp City
- 2020-2021: Serves as ""Mark J. Stefanik"" at Tipp City until contract not renewed

The middle initial ""J"" appears to have been added or became more formally used at Tipp City, but this is clearly the same individual who transitioned from North Carolina to Ohio. The timeline is perfectly aligned with the 2019 transition year, and multiple independent sources explicitly connect both positions to the same person.","https://www.daytondailynews.com/news/local/just-tipp-city-schools-makes-offer-for-superintendent/4hnLPdH5Dg3SpuO1KzZIGO/, https://www.dailyadvance.com/news/local/currituck-schools-chief-stefanik-leaving-for-ohio/article_c7d533be-c10b-5d7a-874a-5ab65acebe44.html, https://www.dailyadvance.com/news/local/family-ties-stefanik-leaving-to-be-closer-to-relatives/article_12bea225-6b29-5137-bf00-d34b64c278ba.html, https://www.tippcityschools.com/article/611702, https://currituckcountync.gov/wp-content/uploads/boc-minutes-18dec03.pdf",19,CONFIRMED
marla stephenson,2008-2011,ca,601860,Albany City Unified,2013-2015,or,4104700,Estacada SD 108,,,,,same,high,"I have found compelling evidence from multiple Tier 1 sources that conclusively establishes these are the SAME person:

**Career Trajectory Evidence:**
- OregonLive (April 2014): Explicitly states ""Marla M. Stephenson of Albany, Calif."" was selected as Estacada's new superintendent, noting she ""has been superintendent for Albany Unified School District since 2008""
- Estacada News (April 2014): Confirms the transition with testimonials from Albany Unified board members who worked with her ""for approximately 15 years"" and noted ""seven years or so she was our superintendent""
- Estacada News (February 2017): Confirms her retirement from Estacada in 2017
- Obituary (2018): Documents complete career path - she ""spent the majority of her career in Albany, CA as Assistant Superintendent and finally Superintendent of schools"" and ""retired as a Superintendent of Schools in Estacada, OR in 2017""

**Timeline Consistency:**
- Albany Unified: 2008-2011 (actually until 2014 when she moved)
- Estacada SD 108: 2013-2015 (actually until 2017 when she retired)
- The transition period in 2013-2014 perfectly aligns with the career move

**Name Verification:**
- Full name confirmed as ""Marla M. Stephenson"" and ""Marla MacNeur Stephenson"" across all sources
- No conflicting first names found

**Quality Gates Met:**
- ✓ Multiple independent sources explicitly connect both positions
- ✓ Full name verified at both districts
- ✓ Timeline is plausible and consistent
- ✓ Primary sources fetched and read
- ✓ Both districts researched

This represents a clear case of a superintendent moving from California to Oregon, with extensive documentation of the career transition.","https://www.oregonlive.com/clackamascounty/2014/04/estacada_school_district_names.html, https://estacadanews.com/2014/04/16/stephenson-described-as-fierce-advocate-for-students/, https://estacadanews.com/2017/02/15/estacada-school-board-hires-interim-superintendent/, https://www.eastbaytimes.com/obituaries/marla-macneur-stephenson/, https://www.ausdk12.org/seismic-safety-information",19,CONFIRMED
martin cox,2003,tx,4800064,Star Charter School,2010-2011,ny,3611070,Fillmore Csd,,,,,same,high,"I have strong evidence that Martin Cox at Star Charter School (TX) in 2003 and Mr. Martin D Cox at Fillmore CSD (NY) in 2010-2011 are the same person. 

**Evidence Found:**
1. **Position 1 Confirmation:** University of Texas Austin document shows ""Principal/Superintendent, Star Charter School, Austin, TX, March, 2000 – 2005"" - covering the 2003 timeframe exactly
2. **Position 2 Confirmation:** Fillmore CSD board meeting minutes show ""Superintendent Martin D. Cox"" in 2011, and news article confirms ""Martin Cox, second-year principal at DeSales High School in Geneva, will take over at Fillmore Jan. 5, 2009""
3. **Career Continuity:** Multiple sources document his complete career progression from Texas to New York, including intermediate positions at DeSales High School before Fillmore CSD
4. **Name Consistency:** The middle initial ""D"" appears in his later New York positions but wasn't necessarily used during his Texas tenure

**Timeline Analysis:**
- 2000-2005: Star Charter School, TX (covers 2003 position)
- ~2007-2009: DeSales High School, NY (principal) 
- 2009-2012: Fillmore CSD, NY (covers 2010-2011 position)
- Later positions in Sodus, Clarkstown, and finally St. Gregory the Great

The 4-5 year gap between Texas and New York positions is reasonable for a career transition, and the documented career path shows continuous progression in educational leadership roles across multiple districts and states.

**Evidence Quality:** Multiple independent Tier 1 sources (university CV, board meeting minutes, news articles) with consistent career timeline and name variations.","https://moody.utexas.edu/sites/default/files/CMS_Vita_Cox_5.pdf, https://www.fillmorecsd.org/fs/resource-manager/view/d649ab82-80fd-4f4b-9da3-30b948a6dc26, https://www.lenconnect.com/story/news/2008/11/30/turmoil-in-fillmore-over-superintendent/44473812007/, https://www.lohud.com/story/news/local/rockland/clarkstown/2016/08/18/clarkstown-schools-super-5-things-know/88901528/",19,CONFIRMED
martin handler,2008-2012,pa,4204050,Brandywine Heights Area SD,2013-2021,ny,3623040,Pine Plains Csd,,,,,same,high,"I found definitive evidence that MARTIN HANDLER and Dr. Martin D Handler are the same person who moved between districts. The evidence shows a clear career progression: Martin Handler served as superintendent at Brandywine Heights Area School District (PA) from 2008-2013, then became Dr. Martin Handler at Pine Plains Central School District (NY) from 2013-2022. Multiple independent sources confirm this transition, including news articles explicitly stating his move from Brandywine to Pine Plains in July 2013. The addition of ""Dr."" and middle initial ""D"" at Pine Plains is consistent with professional advancement. District documents and news coverage confirm his nearly 9-year tenure at Pine Plains before retirement in 2022.","https://www.recordonline.com/story/news/2008/07/15/sullivan-county-boces-superintendent-to/52337398007/, https://www.readingeagle.com/2013/04/24/brandywine-heights-superintendent-dr-martin-handler-resigns/, https://www.wfmz.com/news/area/berks/martin-handler-brandywine-heights-superintendent-leaving-for-job-in-ny/article_a00e904b-87c4-5d13-b53a-e61b8d282fd5.html, https://www.poughkeepsiejournal.com/story/news/education/2018/01/22/pine-plains-handler-contract/1048653001/, https://www.poughkeepsiejournal.com/story/news/education/2021/04/28/pine-plains-superintendent-stepping-down-replacement-tackle-losses/7382336002/, https://millertonnews.com/pine-plains/pine-plains-superintendent-retire-new-leadership-lined",20,CONFIRMED
marvin wade,2008-2015,ia,1918720,Marshalltown,"2016-2018, 2021-2022",ks,2009180,Manhattan-Ogden,,,,,same,high,"I found definitive evidence that Marvin Wade (Marshalltown, IA, 2008-2015) and Wade, Marvin Dr (Manhattan-Ogden, KS, 2016-2018, 2021-2022) are the same person.

**Tier 1 Evidence (Definitive):**
- Yahoo News article explicitly states: ""Wade, 62, was officially hired by the school board in 2017 and was previously the superintendent of schools in Marshalltown, Iowa.""
- Wikipedia confirms: ""Marvin Wade, previously of the Marshalltown Community School District in Iowa, became the superintendent of Manhattan-Ogden schools in 2016.""

**Tier 2 Evidence (Strong):**
- Marshalltown district audit document confirms ""Marvin L. Wade, Jr. Superintendent"" in 2015
- Multiple news articles confirm ""Dr. Marvin Wade"" served as superintendent at Manhattan-Ogden USD 383 from 2016/2017 until his retirement in 2023
- Career timeline shows perfect progression: Marshalltown (2008-2015) → Manhattan-Ogden (2016-2018, 2021-2022)

**Name Verification:**
- Position 1 uses ""Marvin Wade"" (confirmed as ""Marvin L. Wade, Jr."" in district records)
- Position 2 uses ""Wade, Marvin Dr"" (confirmed as ""Dr. Marvin Wade"" in Kansas)
- Both refer to the same individual with matching full name and doctorate

The evidence comes from multiple independent sources including news articles, Wikipedia, and official district documents, providing clear documentation of the career transition between districts.","https://news.yahoo.com/usd-383-board-extends-superintendent-222000705.html, https://en.wikipedia.org/wiki/Manhattan%E2%80%93Ogden_USD_383, https://www.marshalltown.k12.ia.us/media/cms/audit2015_2BF2165338CD7.pdf, https://www.wibw.com/2023/05/03/retiring-superintendent-honored-with-award-named-commencement-speaker/, https://themercury.com/news/usd-383-superintendent-marvin-wade-to-retire-in-june/article_2e71e41e-85f6-5556-a29c-38fc3e45920c.html",19,CONFIRMED
mary ann kahl,2003-2004,il,1703300,Alden Hebron School Dist 19,2015-2018,wi,5515450,Walworth J1 School District,,,,,same,high,"I have found definitive evidence that both superintendent records refer to the same person, Mary Ann Kahl. 

**Tier 1 Evidence:**
1. **Direct Career Connection**: Mary Ann Kahl's 2018 retirement announcement from Walworth J1 School District explicitly states: ""I have spent 20 years teaching in the primary grades from 1978-1998 before beginning my work in administrative positions at the Alden-Hebron School District in Hebron, Illinois and in the Janesville School District, in Janesville, Wisconsin.""

2. **Official Documentation**: Illinois State Board of Education records from 2005 show ""DR MARY ANN KAHL"" as superintendent of ""ALDEN HEBRON SCHOOL DIST 19"" in Hebron, Illinois, confirming her position during the 2003-2004 timeframe.

**Timeline Analysis:**
- 2003-2004: Superintendent at Alden-Hebron School District 19 (confirmed by ISBE records)
- 2005-2012: Assistant Professor at National Louis University (mentioned in her retirement announcement)
- 2015-2018: District Administrator at Walworth J1 School District (confirmed by district records)

The career progression is logical and the timeline is consistent. Both records show the same person in different phases of her educational career, moving from Illinois superintendent to Wisconsin district administrator over a decade later. The geographic transition between neighboring states (Illinois to Wisconsin) is also common for educational professionals.

**Quality Gates Met:**
- ✅ Fetched primary sources from both districts
- ✅ Verified full name matches at both districts
- ✅ Found explicit career connection statement
- ✅ Timeline is plausible and logical
- ✅ No conflicting evidence found","https://www.walworth.k12.wi.us/article/70021, https://www.isbe.net/Documents/district_sum05.xls",19,CONFIRMED
matthew block,2020-2024,nj,3408820,Livingston Twp,2024,ny,3603180,Ardsley Ufsd,,,,,same,high,"I completed comprehensive research across multiple phases and found definitive evidence that both superintendent records refer to the same person:

**Phase 1**: Identified district domains - livingston.org (Livingston Public Schools, NJ) and ardsleyschools.org (Ardsley Union Free School District, NY).

**Phase 2**: Found multiple Tier 1 sources explicitly connecting both positions:
- Ardsley's official leadership page states Dr. Matthew Block ""served as Superintendent of Schools for the high-achieving Livingston Public Schools in Livingston, New Jersey, managing over 6,000 students"" before joining Ardsley on July 1, 2024
- Multiple news articles (AOL, lohud.com, Patch, Hudson Independent) confirm Block was superintendent of Livingston Public Schools since 2019 and was appointed to Ardsley in 2024
- The Ardsley district's own announcement explicitly states he's coming from Livingston Public Schools

**Phase 3**: Verified timeline consistency - sources confirm Block served as Livingston superintendent from 2019-2024, then transitioned to Ardsley starting July 1, 2024. This perfectly matches the record dates (Livingston 2020-2024, Ardsley 2024).

**Evidence Quality**: The evidence includes:
- Tier 1: Official district website with explicit career history connection
- Tier 1: Multiple news articles covering the specific transition between districts
- Tier 2: Professional announcements and local news coverage

**Quality Gates Verified**:
✓ Fetched primary source content from Ardsley's official website
✓ Searched both districts comprehensively
✓ Verified full name matches (Dr. Matthew Block) at both districts
✓ Timeline is plausible and confirmed by multiple sources
✓ No conflicting evidence found

The evidence conclusively shows this is the same person making a career move from Livingston Public Schools in New Jersey to Ardsley Union Free School District in New York in 2024.","https://www.ardsleyschools.org/about/our-leadership, https://www.aol.com/ardsley-appoints-next-superintendent-livingston-152659233.html, https://www.lohud.com/story/news/education/2024/04/03/ardsley-ny-schools-appoints-next-superintendent-matthew-block-from-nj/73188798007/, https://patch.com/new-york/rivertowns/ardsley-school-district-appoints-new-superintendent, https://thehudsonindependent.com/new-superintendent-of-schools-hired-in-ardsley/",20,CONFIRMED
matthew friedman,2023,nj,3411970,Ocean City,2023-2024,pa,4219890,Quakertown Community SD,,,,,same,high,"I have found definitive evidence that Matthew Friedman served as superintendent at both districts in succession. The evidence shows:

1. **Direct Career Progression**: Multiple Tier 1 sources confirm Friedman moved from Ocean City (NJ) to Quakertown (PA) in 2023:
   - District Administration profile states: ""A former superintendent of New Jersey's Ocean City School District, he is also involved in K12 leadership development""
   - PhillyBurbs article details his hiring: ""Friedman is the superintendent of Ocean City School District in New Jersey... He was hired in June 2022 and will continue serving Ocean City until starting his new position at Quakertown""
   - Bucks County Education confirms: ""Dr. Friedman, previously Superintendent of Ocean City (NJ) School District, was approved in a unanimous vote by the QCSD School Board at a Special Call meeting on March 28""

2. **Timeline Verification**: Evidence confirms exact timeline:
   - Started at Ocean City in July 2022
   - Hired by Quakertown in March 2023 (while still at Ocean City)
   - Left Ocean City in June 2023
   - Started at Quakertown in July 2023

3. **Full Name Confirmation**: All sources consistently refer to ""Dr. Matthew Friedman"" with matching professional background, educational credentials (University of Pittsburgh, Carnegie Mellon University), and family details (wife Rebecca, three children).

4. **Geographic Logic**: The move from NJ to PA makes sense as Friedman lived in Downingtown, PA, making Quakertown (also in PA) closer to home than Ocean City, NJ.

The evidence from multiple independent sources provides clear, explicit confirmation that these are the same person who moved between districts.","https://districtadministration.com/team/matthew-friedman/, https://www.phillyburbs.com/story/news/education/2023/03/30/matthew-friedman-hired-by-quakertown-community-school-district/70059724007/, https://www.buckscountyherald.com/news/quakertown-appoints-matthew-friedman-new-superintendent/article_2f65f15b-50db-5fa4-8fb0-551ed410c4f2.html, https://patch.com/new-jersey/oceancity/ocean-city-school-superintendent-takes-new-job-pa, https://www.zeal-ed.com/team/matthew-friedman, https://buckscountyeducation.com/2023/07/qcsd-welcomes-new-superintendent/",20,CONFIRMED
matthew wendt,2008-2011,ia,1903690,Ankeny,2012-2014,il,1730270,Oswego Cusd 308,,,,,same,high,"The evidence clearly shows that Matthew Wendt and Dr. Matthew Wendt are the same person who moved from Ankeny, Iowa to Oswego, Illinois. Multiple Tier 1 sources confirm this career transition: (1) WSPY News explicitly states 'Oswego School District 308 hired Wendt in 2012 amid a growing controversy with his former employer. The Ankeny, Iowa school district sued Wendt in 2012.' (2) Des Moines Register confirms 'Wendt was superintendent of Ankeny Schools from 2007 to 2012' and 'was hired by Fayetteville in 2016 after working in Oswego, Illinois.' (3) Chicago Tribune documents his 2012 start at Oswego District 308 and departure in 2016. (4) Multiple news reports about the Ankeny lawsuit specifically reference the Oswego job offer as the catalyst for the legal dispute. The timeline perfectly matches the records (2008-2011 in Ankeny, 2012-2014 in Oswego), and the career progression is consistent with superintendent mobility patterns. No evidence suggests different individuals with the same name.","https://www.wspynews.com/news/local/oswego-superintendent-says-family-decisions-prompted-him-to-accept-arkansas-job/article_23270878-c687-11e5-98ed-fbce9da9ff71.html, https://www.desmoinesregister.com/story/news/education/2018/06/19/ankeny-superintendent-sex-sexual-harassment-allegations-matthew-wendt-fired-arkansas-schools/714390002/, https://www.chicagotribune.com/2016/01/29/oswego-superintendent-says-many-reasons-why-he-was-drawn-to-arkansas-job/, https://www.kcci.com/article/school-district-sues-former-superintendent/6870621, https://patch.com/iowa/ankeny/wendt-ankeny-school-board-settle-lawsuit-over-severance-pay",19,CONFIRMED
matthew wendt,2008-2011,ia,1903690,Ankeny,2016,ar,506120,Fayetteville School District,,,,,same,high,"I have found definitive evidence that both superintendent records refer to the same person - Matthew Wendt. The evidence shows a clear career progression: Ankeny, IA (2007-2012, covering the 2008-2011 period in the record) → Oswego, IL (2012-2016) → Fayetteville, AR (2016-2018, covering the 2016 record). Multiple independent sources confirm this trajectory, including the Des Moines Register which explicitly states ""Wendt was hired by Fayetteville in 2016 after working in Oswego, Illinois. He was superintendent of Ankeny Schools from 2007 to 2012."" The timeline is consistent and plausible, with no overlapping tenures. I verified the full name ""Matthew Wendt"" appears consistently across both districts, and found no evidence of different superintendents with this name in either location. This represents a clear case of the same person moving between districts.","https://www.desmoinesregister.com/story/news/education/2018/06/19/ankeny-superintendent-sex-sexual-harassment-allegations-matthew-wendt-fired-arkansas-schools/714390002/, https://talkbusiness.net/2019/07/former-fayetteville-superintendent-matthew-wendt-files-chapter-7-bankruptcy/, https://www.wspynews.com/news/local/oswego-superintendent-says-family-decisions-prompted-him-to-accept-arkansas-job/article_23270878-c687-11e5-98ed-fbce9da9ff71.html, https://www.arkansasonline.com/news/2016/jul/24/wendt-begins-new-role-as-fayetteville-s/",20,CONFIRMED
matthew wendt,2012-2014,il,1730270,Oswego Cusd 308,2016,ar,506120,Fayetteville School District,,,,,same,high,"I have found definitive evidence that both superintendent records refer to the same person - Dr. Matthew Wendt. 

**Evidence Found (Tier 1 Sources):**
1. **Chicago Tribune article (2018)**: Explicitly states ""Matthew Wendt, who left the Oswego-based District 308 in 2016 for a superintendent job at a school district in Fayetteville, Ark.""
2. **Oswego District 308 official timeline**: Confirms ""2012 - Superintendent of Schools: Dr. Matthew Wendt"" 
3. **Multiple Arkansas news sources**: Confirm Matthew Wendt was hired as Fayetteville superintendent in 2016
4. **Career trajectory**: Shows clear progression - Wendt worked at District 308 for four years (2012-2016), then moved to Fayetteville in 2016

**Key Details Verified:**
- Full name matches: ""Dr. Matthew Wendt"" at both districts
- Timeline is consistent: Left Oswego in 2016, started Fayetteville in 2016
- Geographic move: Illinois to Arkansas (adjacent states, common for superintendent moves)
- Multiple independent sources confirm the same transition

**Quality Gates Met:**
- ✓ Fetched and read primary sources
- ✓ Searched both districts 
- ✓ Verified full name at both positions
- ✓ Found 2+ Tier 1 sources explicitly connecting the positions
- ✓ Timeline is plausible and confirmed

The evidence conclusively shows this is the same person who moved from Oswego CUSD 308 in Illinois to Fayetteville School District in Arkansas.","https://www.chicagotribune.com/2018/06/20/ex-superintendent-of-oswego-based-district-308-fired-by-arkansas-school-board-after-sex-harassment-allegation/, https://www.sd308.org/Our-District/About-Us/History--Timeline/index.html, https://www.arkansasonline.com/news/2016/jul/24/wendt-begins-new-role-as-fayetteville-s/, https://www.arkansasonline.com/news/2016/feb/01/oswego-school-officials-describe-innova/",18,CONFIRMED
melinda moss,2010-2014,ar,507380,Harrison School District,2018-2022,mo,2916350,Joplin Schools,,,,,same,high,"I conducted comprehensive research following the 4-phase methodology. Phase 1 identified the official district websites (harrisongoblins.org and joplinschools.org). Phase 2 found definitive evidence connecting the two positions - multiple news sources explicitly state that Melinda Moss moved from Harrison School District to Joplin Schools. Phase 3 verified the full name at both districts. The evidence shows:

1. Joplin Schools bio sheet explicitly states ""Dr. Melinda Moss is in her seventh year as superintendent of Harrison Public Schools in Harrison, Arkansas"" when announcing her hiring
2. KY3 news reports ""The Joplin School Board chose a new superintendent from a school district in Arkansas. It unanimously selected Melinda Moss...Moss is in her seventh year as superintendent of the Harrison School District""
3. Joplin Globe confirms ""Melinda Moss, superintendent of the Harrison School District in Arkansas, has been named the new superintendent in Joplin""
4. Multiple retirement announcements from 2022 reference Dr. Melinda Moss's previous service at Harrison

The name format difference (""MOSS, MENDY"" vs ""MELINDA MOSS"") represents the same person - Mendy is a nickname for Melinda. The timeline is perfectly consistent (2010-2014 at Harrison, 2018-2022 at Joplin) with Moss leaving Harrison around 2016-2017 to take the Joplin position. This represents a clear career progression between adjacent states (Arkansas to Missouri).","https://cdnsm5-ss11.sharpschool.com/UserFiles/Servers/Server_153000/File/News%20and%20Announcements/JS_MMoss-bioSheet.pdf, https://www.ky3.com/content/news/joplin-school-superintendent-choice-403834726.html, https://www.joplinglobe.com/news/melinda-moss-named-joplins-new-superintendent/article_2466b98a-b697-11e6-b6e0-9bf6d8aa8c4d.html, https://www.koamnewsnow.com/news/education/joplin-r-8-superintendent-dr-melinda-moss-announces-retirement-to-staff/article_ced64537-e832-5a42-be4e-ba2d09aed57a.html",20,CONFIRMED
meria carstarphen,2009-2013,tx,4808940,Austin Isd,2014-2019,ga,1300120,Atlanta Public Schools,,,,,same,high,"I completed comprehensive research across multiple phases and found overwhelming evidence that both superintendent records refer to the same person - Dr. Meria Joel Carstarphen.

**Phase 1**: Identified district domains - Austin ISD (austinisd.org) and Atlanta Public Schools (atlantapublicschools.us).

**Phase 2**: Found multiple Tier 1 sources explicitly connecting both positions:
- Austin ISD official press releases (March 27 and April 14, 2014) announcing Carstarphen's departure to Atlanta Public Schools
- Education Research Alliance profile stating she was Austin superintendent ""from 2009 to 2014"" before Atlanta
- Her personal website listing career progression through Austin, then Atlanta
- Multiple news articles covering the specific transition between districts

**Key Evidence**:
- Austin ISD press release from April 14, 2014: Statement from Superintendent Meria Carstarphen on being named Atlanta's superintendent
- Education Research Alliance: explicit timeline ""superintendent of Austin Independent School District from 2009 to 2014"" before Atlanta
- Personal website confirms career sequence: Austin, Texas → Atlanta, Georgia
- Timeline perfectly matches: Austin (2009-2013 per records, actually 2009-2014) → Atlanta (2014-2019)

**Quality Gates Verified**:
✓ Fetched multiple primary sources with full content
✓ Searched both districts thoroughly  
✓ All results relevant to US K-12 education
✓ Full name verified at both districts (Meria Joel Carstarphen)
✓ No conflicting evidence found

The evidence clearly shows one person moving from Austin ISD to Atlanta Public Schools in 2014, with the timeline matching the records perfectly.","https://www.austinisd.org/press-releases/2014/04/14/statement-atlanta-public-schools-names-carstarphen-new-superintendent, https://www.austinisd.org/press-releases/2014/03/27/statement-atlanta-public-schools-names-carstarphen-sole-finalist, https://educationresearchalliancenola.org/participants/meria-carstarphan, https://meriacarstarphen.com/about/, https://www.edutopia.org/profile/dr-meria-joel-carstarphen/, https://www.edweek.org/leadership/new-superintendent-named-for-atlanta-public-schools/2014/04",20,CONFIRMED
michael bakalis,2014-2017,in,1800025,Thea Bowman Leadership Academy,2015,mi,2601094,Great Lake Explorations Academy,,,,,same,high,"I have strong evidence that both superintendent records refer to the same person - Michael J. Bakalis. The evidence shows:

1. **Charter Network Connection**: Both schools are managed by American Quality Schools (AQS), which Michael Bakalis founded and serves as President/CEO

2. **Direct Evidence**: 
   - At Thea Bowman Leadership Academy (IN, 2014-2017): News articles confirm Bakalis as ""president of American Quality Schools, Thea Bowman's educational management company""
   - At Great Lakes Explorations Academy (MI, 2015): Articles confirm Bakalis as ""President and CEO of American Quality Schools Corporation"" when discussing GLEA's opening

3. **Timeline Plausibility**: The overlapping years (2014-2017 for IN, 2015 for MI) are entirely plausible since Bakalis would serve as superintendent for multiple AQS-managed schools simultaneously in his corporate leadership role

4. **Professional Context**: As founder and CEO of AQS, Bakalis would naturally be listed as superintendent for the charter schools his organization manages across multiple states

5. **Name Verification**: Both sources reference ""Michael Bakalis"" consistently with the same professional title and organizational affiliation

The evidence clearly shows this is the same person holding corporate leadership positions that make him the superintendent of record for multiple charter schools within the American Quality Schools network.","https://nwitimes.com/news/special-section/education/article_8f72c239-8517-5dc1-a37f-b1196fab6e48.html, https://secondwavemedia.com/nature-based-charter-school-to-debut-in-kalamazoo-in-fall-2016-0625/, https://heartland.org/about-us/who-we-are/michael-j-bakalis/, https://en.wikipedia.org/wiki/Michael_Bakalis",18,CONFIRMED
michael kopakowski,2011-2013,nj,3410020,Middle Township Public Schools,2014-2017,pa,4215900,Morrisville Borough SD,,,,,same,high,"I found definitive evidence that Michael Kopakowski held both positions as the same person transitioning between districts. Phase 1 identified the districts: Middle Township Public Schools (NJ) and Morrisville Borough SD (PA). Phase 2 and 3 searches revealed multiple Tier 1 sources explicitly connecting the positions:

1. **Direct Career Transition Evidence**: A 2014 PhillyBurbs article shows Morrisville hired Michael Kopakowski effective July 1, 2014, with the board voting 9-0. The article explicitly states ""Kopakowski has been the superintendent of the Middle Township Public Schools in New Jersey since 2003.""

2. **Retirement and Transition Confirmation**: A Cape May County Herald article from 2014 confirms Michael Kopakowski was leaving Middle Township for Morrisville, stating he ""is expected to retire this month, after a school board in Pennsylvania announced that they have voted to hire him to take over schools in Morrisville July 1.""

3. **Career History Verification**: A 2017 Bucks County Courier Times article about his contract extension confirms ""Before coming to Morrisville, he had been a teacher and administrator at public schools in New Jersey for 37 years, including stints as superintendent in the Hammonton and Middle Township school districts.""

The timeline perfectly aligns: Position 1 (Middle Township, NJ) was 2011-2013, and Position 2 (Morrisville, PA) was 2014-2017. The sources show he left Middle Township in June 2014 and started at Morrisville on July 1, 2014. This represents a clear career move from one superintendent position to another, which is common in education administration.","https://www.phillyburbs.com/story/news/2014/05/28/morrisville-hires-new-schools-chief/18021609007/, https://www.capemaycountyherald.com/news/community-schools-middle-superintendent-to-retire-offered-job-in-pennsylvania-article_4fd43ac8-2aec-56e8-ac49-27cd93ef4a25-html-185199, https://www.buckscountycouriertimes.com/story/opinion/columns/2017/01/30/morrisville-school-district-superintendent-to/18192161007/",20,CONFIRMED
